tweet
"I've lived in salad states since 2012, bless their hearts. https://t.co/ey9aHywI5u"
"RT @tressiemcphd: Pre tenure, post tenure. https://t.co/DbfMEavrqk"
🧐 🧐 🧐 https://t.co/dpoavZyodn
Fort Smith FSM is the best airport in the world and it isn't close. 🛩️ https://t.co/PZcDz468Tp
RT @fvrmvn: doing OpenGL tutorials “for fun” https://t.co/SdljAzAD1r
"Not even gonna hit 70 today... ⛄ @ Phoenix, Arizona https://t.co/KEa7fGxtU3"
RT @hadleywickham: ggplot2 causing controversy again 😂 https://t.co/JbEecinKXy
"In the battle of alma mater vs. alma mater, my alma mater prevailed. Go alma mater! #Hogs #Aggies https://t.co/50a5fmFT81"
ISBT4 also has a Triceratops skull and replica of the Mars rover Curiosity. @asu https://t.co/R4REO1YzS5
Lots of cool exhibits scattered around @asu campus buildings. The Magic Planet exhibit in ISTB4 streams real-time d… https://t.co/wVrK3DNnBz
.@538politics usually has a really nice data vis on their site. I really like this one on Senate and House chances. https://t.co/F67jDx6q6p
time 4 coffee
"RT @TheBabylonBee: Decaf Coffee Condemned As Heresy
https://t.co/rQeXbAiPME https://t.co/SnMVkgpoCF"
"RT @spetulla: Latest graphics addition to CNN's Forecast: @vijithassar's  Vectorgram O_O. Gorgeous vector field-style cartogram, just in ti…"
"Someone went back to the future in our parking deck @ Tempe, Arizona https://t.co/YjWhsjGdPO"
RT @darth: https://t.co/ALh61ijmg1
"In some personal news, picked up a nice souvenir last week: a book of Czech fairy tales for the little guy who will… https://t.co/BpYiBvAYji"
Well when you put it like that. https://t.co/GwcITAwH9m
Flughafen!
"Fun week at @ieeevis in Berlin and Prague, but now back to the real world."
RT @ForecasterEnten: What a chart. https://t.co/4AWimbPDGL
Not that I'm complaining..
In Prague at the John Lennon Pub and they're playing some honky tonk country.
"Shout out from the Czech Republic, Hogs gonna win a real game one of these days!"
Spending a quick weekend in Prague. Got to have a Pilsner Urquell when here! https://t.co/ryymHM5Zwf
"#ieeevis 2018 is finished, my first one as a faculty member. It's a great conferences with inspiring research, wond… https://t.co/6220r1Dm1G"
RT @danieljpowell: Not how I expected him to come back but okay. https://t.co/dW0IdMZnNF
RT @eagereyes: I’m a sucker for efficient graphical overview slides like this #IEEEVIS https://t.co/Eu3Zjee47a
"Not just that.. some of the students in my Vis grad class @ASU are implementing iStoryline for class projects, so i… https://t.co/okKfL5gCKT"
Our work just presented at @ieeevis InfoVis: GraphProtector: A Visual Interface for Employing and Assessing Multipl… https://t.co/2HJdc4uhCX
"Having some nice food in Berlin this week during #IEEEVis! @ Berlin, Germany https://t.co/qYV7eO7uB9"
"RT @jsndyks: I asked @andreykrekhov how he planned and delivered such a smooth Best Paper talk with no notes.
paraphrasing - ""Plan a one mi…"
Really nice @ieeevis InfoVis best paper presentation by @domoritz: Formalizing Visualization Design Knowledge as Co… https://t.co/7O1QrTRrsO
VDS Panel on The Future of Visualization in Data Science. Nice discussion going on. #ieeevis https://t.co/QjDjgDvMqQ
Happy to present today at @ieeevis @VizSec An Empirical Study on Perceptually Masking Privacy in Graph Visualizatio… https://t.co/DvuOKYYIeK
"Tag is the sort of movie that, even on an airplane, you finish and immediately regret those 2 hours of your life that you'll never get back."
Phoenix sky harbor busy this morning. Off to Berlin and #IEEEVis! @ Phoenix Sky Harbor International Airport https://t.co/LZ9EknpYO2
"RT @BoringEnormous: And I looked, and behold, a pale horse. And its rider’s name was Death. https://t.co/wlFYyoF4fT"
Spooky times @asuengineering @ Brickyard Engineering Building https://t.co/rHaqR5UXPf
Pretty accurate summation of me finishing grad school. https://t.co/x50vABbR66
It's like #Bert never left... 😵 https://t.co/fls2cPmG8l
"New coach, same story. #hogs"
RT @ieeevis: How to preserve privacy for social network data? GraphProtector guides users through a privacy preservation pipeline. See our…
"Happy to report that pie charts are also always ""fabulous"" despite the propaganda from guys like @EdwardTufte. https://t.co/uWlUkcimig"
Update for the day after getting my flu shot: Needles are scary but I am a very brave guy! Shoulder is a teensy een… https://t.co/pfw1vu7A5i
"Still waiting at Walgreens to get a flu shot. Over 1 hr now, probably gonna die of old age."
"A very old lady at the Walgreens pharmacy counter just announced ""I'll die of old age before I get out here."" I feel her"
"RT @alark: We have a CS tenure-track position in our awesome dept @usfcs in San Francisco! Come work with awesome colleagues like @sjengle,…"
"@Runjohnrun if you're looking for a good coffee stop, I highly recommend The Mill."
"RT @BA_Friedman: *sits straight up in bed* 
The Ewoks had a dress to give to Leia in Return of the Jedi because they had previously eaten s…"
Playing Arkansas is such a morale booster for other teams this year.
Arkansas and Nebraska should play in the Sadness Bowl. 🐗🌽
"Having lived several years in California, ""boring"" severely understates the situation. https://t.co/SolyUtyAhL"
hello darkness my old friend https://t.co/8waLCLYsYq
Polar bear @ San Francisco Ferry Building https://t.co/Bh2iejJdKH
Dangit ASU! https://t.co/DAbFEXrFym
@tjberinger ASU! #herm #herm #herm
@dannyhenkel #trustInHerm
@BRed3000 @SOARcwe don't put those poor kids through something like that.. :(
"It me, an Arizona State fan!"
Sasse 2020 https://t.co/yWoRRT1Hfc
Blade Runner 2049 is gorgeous. Wow.
"@JonahNRO having moved here 6 weeks ago when it was 115+ every day, yup"
@twooldridge oh but we can and probably will
"At least baseball was good this year, right fellow Hog fans?"
"@tjberinger If ethics don't matter in politics, why should they in football"
Arkansas football will never escape an ability to blow winnable football games.
Props to Osaka though. She's played so well the whole tourney. #USOpen2018
"@calantoni92 lol, that's absolutely not what I said or implied but thanks for misinterpreting"
Serena Williams the GOAT but man she's coming off unlikable right now. #USOpen2018
"RT @_cingraham: 10 minutes ago, Google searches for 25th amendment briefly eclipsed searches for Kim Kardashian https://t.co/Em6vPFklAQ"
Tfw @aircanada cancels your flight and the counter workers won't help you.
RT @mombot: Why did Finn and Rose save the horse donkeys on the casino planet and not the slave children? https://t.co/Y2rLFtNJFF
This is so great. Adoption is a beautiful thing! https://t.co/GI5nc1e0oy
"I learned today my wife didn't know the term macguffin. ""Oh, is that a Southern term from Arkansas?"""
First run this morn in my new kicks. That Phoenix heat ain't no joke even early AM. https://t.co/9Cr261aHui
@CALinnovates quit texting me I don't live in California ya jerks
"I mean.. if you don't have coffee, what is left?"
The current coffee setup in my office. https://t.co/aWKTQuwa1Y
Make Arkansas Great Again! https://t.co/H0JHv27opI
@kris10elms me too!
"RT @ByRosenberg: Berkeley (avg rent: $3,100) rejects 5-story apartment for being too big.

“This is an insane invasion of privacy,"" a zonin…"
Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo https://t.co/6rZpL8QjhU
🐗 MAKE 🐗 ARKANSAS 🐗 GREAT AGAIN 🐗 https://t.co/msv1tAzOMD
"The new Justice League movie will star Pelosi, Schumer, Trump, and Rand Paul. https://t.co/s6xs8O1KLw"
"RT @tjberinger: The president showed how weak he really is today. We would have never seen this from Obama, Bush, Clinton, etc... https://t…"
"@BRed3000 538 Politics, KQED Forum (bay area NPR), The Remnant with Jonah Goldberg, 99% Invisible, Criminal"
@sunny_sab not surprised a Chris was helpful. We are well known throughout history for being swell folks.
Current state of mind https://t.co/KuocEhCe1v
"RT @angryrobotbooks: That'll do, pig. https://t.co/DnwcMHi0oL"
